,model_name,train_score,test_score,dataset_name
0,lr,0.8458149779735683,0.868421052631579,heart
1,rf-100,1.0,0.8421052631578947,heart
2,lgb,1.0,0.7894736842105263,heart
3,ebm,0.9515418502202643,0.8947368421052632,heart
4,ebm_tf,0.9118942731277533,0.8552631578947368,heart
5,lgb_tf,0.6123348017621145,0.7368421052631579,heart
6,lr,0.9835680751173709,0.993006993006993,breast-cancer
7,rf-100,1.0,0.951048951048951,breast-cancer
8,lgb,1.0,0.965034965034965,breast-cancer
9,ebm,1.0,0.9370629370629371,breast-cancer
10,ebm_tf,0.9694835680751174,0.9230769230769231,breast-cancer
11,lgb_tf,0.5985915492957746,0.6363636363636364,breast-cancer
12,lr,0.8543407043407043,0.8465790443434468,adult
13,rf-100,0.9998771498771499,0.8523522908733571,adult
14,lgb,0.8920966420966421,0.8695491954305368,adult
15,ebm,0.8788697788697789,0.866601154649306,adult
16,ebm_tf,0.8707207207207207,0.8301191499815748,adult
17,lgb_tf,0.7813677313677314,0.7754575604962536,adult
18,lr,0.999180730788137,0.9992135052386169,credit-fraud
19,rf-100,1.0,0.9995786635206876,credit-fraud
20,lgb,0.9979635308162262,0.9963765062779135,credit-fraud
21,ebm,0.9995833430865383,0.999522485323446,credit-fraud
22,ebm_tf,0.9993726738606306,0.9993399061824106,credit-fraud
23,lgb_tf,0.9980805692750638,0.9983286986320609,credit-fraud
